answer;question
o;大量而广泛地阅读古今中外优秀的文学作品，不仅可以增长你的见识，而且能够提高你的表达能力。
x;《绿色通道》这套系列丛书的读者对象主要是面向高一年级的老师和学生。
o;那个女孩子说，舞蹈不一定会成为自己的职业，但它一定会是自己一生的爱好。
o;常去图书馆，随意翻翻，都会有收获。所以，如果大学四年你很少去图书馆的话，就等于浪费了一大笔财富。
o;老鼠适应环境的能力很强，从赤道到两极，都有它们的踪迹。人类只有两三百万年的历史，而老鼠至少有四五千万年的历史了。
o;处于困境中的人，只有从压抑与抱怨中解放出来，才能全力以赴地追求新生活。
o;面对“舍”与“得”两种选择，人们大多会选择“得”，却偏偏忽略了在“得”的同时需要付出代价。
x;尽管夏季烈日曝晒，冬季寒风扫荡，却海洋的温度变化很小。因此，巨大的海洋就像是天然的“温箱”，是孕育原始生命的“温床”。
o;旅行让我们得以观察别人的生活，看电影让我们身临其境般地体验另一种人生。两者的相似之处在于，都是看别人的生活，丰富我们的人生。
o;没过多久，他就学会了骑自行车。
x;从地图上，黄河干流就像一个巨大的“几”字。
o;大多数人想要改造这个世界，却很少有人想过改造自己。
o;据调查，产生心理问题时，选择求医的男性比例明显小于女性。
o;我感觉这段时间身体比以前好多了。
x;这个月公司的业绩是今年以来业绩中最好的一个月。
o;那种不顾儿童能否接受的填鸭式教学方法，无异于拔苗助长。
o;许多成语出自古代寓言故事，比如“狐假虎威”“刻舟求剑”等。
o;世界博览会又简称“世博会”。
o;多食用胡萝卜、大蒜等，可以帮助肝脏排毒。
o;纪晓岚故居位于北京市珠市口，是纪晓岚居住时间最长的地方。
x;跳绳是一项很好的运动，能有效训练人们的耐力和协调力的提高。
o;地质学家们认为，水在地球形成之时就已存在。
x;要想根除田野里的杂草，最好的方法措施就是在上面种上庄稼。
o;呼伦贝尔市总面积 26.3 万平方公里，相当于山东与江苏两省面积之和。
o;有时候，学历只代表一个人受过什么教育，并不能代表这个人能力如何。
o;未来两天，华东和华南部分地区的降水将逐渐减少。
x;在这些教材中，基本可以分为三大类：口语、阅读、写作。
o;葡萄酒中含有多种对人体有益的成分，目前已知的就有 600 多种。
o;孙悟空的筋斗云，哪吒的风火轮，都寄托了人类渴望飞速行进的愿望。
x;去别人家做客，注意不要添别人麻烦。
o;明清两代，在北京经营饭店的主要是山东人。
o;我最欣赏他的勇气，在他眼中，仿佛世界上任何困难都不足为惧。
o;树木年轮宽，说明气候温暖湿润；树木年轮窄，说明气候寒冷干旱。
o;海拔每上升 1000 米，气温下降 6 摄氏度。
o;一个人的交际圈在很大程度上影响着他的消费。
x;有时候，一个人做事比三个人一起做一件事情做起来十分容易。
o;梅兰芳是中国的京剧大师，他的京剧表演艺术独具风格，世称“梅派”。
o;我对她很了解，才华横溢，能写一手好文章，是某出版公司的图书策划编辑。
x;我们应该以一颗平常心来解决可能不很理想的现实，而用一颗进取心去开创美好的未来。
o;我自己做了父亲，才体会到父亲的心情，才惭愧地意识到他其实一直有和我亲近一些的愿望，却被我那么固执地回避了。
o;在一个人需要帮助的时候，你助其一臂之力，那是给他力量。但是，如果给了他太多的帮助，那你就是在削弱他的力量。
x;互联网的应用给我们的生活带来了巨大的变化，这些变化既有正面的也是负面的。
o;臭氧层好比是地球的“保护伞”，阻挡了 99%的紫外线辐射，保护着地球上的生物。
o;李嘉诚从小受到家庭环境的熏陶，3 岁就开始读唐诗，到小学毕业时，已经能读《红楼梦》《老残游记》《资治通鉴》了。
o;喀纳斯被誉为天山以北最美的地方，其实北国边疆处处是美景，作为单身的背包客，我不时会闯入人们还未曾涉足的人间仙境。
o;舞狮子是中国优秀的民间艺术，每逢元宵佳节或集会庆典，民间都以舞狮助兴。
o;常言道“化作春泥更护花”，树叶腐烂后产生的有机质有改善土壤的作用，是树木最好的肥料。
o;真正使你感到疲惫的往往不是一眼望不到顶的山峰，而是在攀登过程中掉进鞋中的一粒沙子。
x;当双方的意见僵持不下时，你就应该明白，再这样下去都没有好处对双方，争取形成一个双方都能接受的方案是最好的选择。
o;她不但相貌出众，而且写得一手好文章。
o;这幅画用丰富的色彩描绘了秋天的丰收景象。
x;这件衣服的样子不是不好看，而是颜色不好。
o;关于中草药，我知道得很少，不过我可以帮你去请教别的朋友。
o;我毕业后的第一份工作是在一家小公司做会计。
o;任何事情总有第一次，不试试怎么会知道结果呢？
o;婚姻不同于恋爱的一点是，婚姻得面对更多的生活压力。
x;是不是好的作品，可以用两个标准去衡量，一个是历史和一个是大众。
x;孩子们正在教练的指导下学习游泳了。
o;他父亲是京剧界的泰山北斗，在中国可谓是家喻户晓。
o;许多作家喜欢在夜晚写作，因为安静的环境更适合创作。
o;逆水行舟，不进则退。你要么一直遥遥领先，要么甘于位居人后。
o;三年前，父亲带我去拜访了他的一位朋友。
o;互联网提供的搜索功能可以让用户更快地找到他们想要的信息。
x;放心吧，你的事就是我的事，我一定会尽量的，下星期三我给你答复。
o;白鹿洞书院是中国四大书院之一，中国历史上的很多名人都曾在此讲学。
o;2 月 9 日夜里，北京终于迎来 2011 年的第一场雪。
x;这本杂志的对象，主要是面向中国留学生及其他汉语爱好者。
o;因为文化差异等因素，《三国演义》是一部翻译难度极高的著作。
o;早在唐代，陆羽的《茶经》中就有关于茶叶分等和品质鉴别方法的记载。
o;元旦晚会上，孩子们表演了自己精心准备的节目。
x;时间是治理心灵创伤的大师，但绝不是解决问题的高手。
o;两年来我一直坚持跑步，不仅是为了减肥，也是为了磨练自己的意志。
o;在图书市场上，将《孙子兵法》应用在工商管理领域的作品并不少见。
o;昆明四季如春，空气清新，是一个适宜居住的城市。
o;关于牛郎织女的传说，中国民间有很多不同的版本。
o;这个年龄段的孩子逆反心理很强，你要注意教育的方式方法。
x;我住院期间，她无微不至，从那时起，我就对她产生了好感。
o;人之不自知，正如“目不见睫”，人可以看见百步以外的东西，却看不见自己的睫毛。
o;在通货膨胀的情况下，如果工人的工资没有相应的提高，他们的生活成本就会增加，生活水平就会下降。
x;宽容是一种为人处世的哲学。只有宽容他人的过错，与人才能建立起良好的人际关系，赢得别人的钦佩与尊敬。
o;“冬至”过节源于汉代，盛于唐宋，沿袭至今。《清嘉录》甚至有“冬至大如年”之说，这表明古人对冬至十分重视。
x;调查显示，多数女性喜欢有责任心、成熟、认真、幽默的男性最受女性欢迎。
o;颜真卿的书法，在魏晋之后开辟了一种新的境界，代表了唐代书法的第二次高峰。
o;这款手表价格便宜，样式特别，还有 5 种不同的颜色可供选择，是这里销量最好的手表。
o;敦煌位于古代中国通往西域、中亚和欧洲的交通要道——丝绸之路上，曾经拥有繁荣的商贸活动。
o;苦瓜虽苦，但与其他食材搭配时并不会将苦味渗入别的材料中，被人们称为“君子菜”。
x;天气的变化，直接影响着动物的生活，往往能及时察觉到天气的变化，并预先做好相应的准备。
o;在中国，酒主要以粮食为原料酿制而成。其中由谷物粮食酿造的酒一直处于优势地位，而果酒所占的份额很小。
o;经研究发现，一个人缓解压力的能力与他的社会经验有关，30岁以下的上班族的减压能力明显弱于资深上班族。
